2025-08-17 00:51:23 | INFO     | test_logging:setup_logging:52 - Logging configured
2025-08-17 00:53:36 | INFO     | test_logging:setup_logging:52 - Logging configured
2025-08-17 00:54:33 | DEBUG    | decorators:wrapper:34 - Calling test_func
2025-08-17 00:55:01 | DEBUG    | decorators:wrapper:34 - Calling test_func
2025-08-17 00:55:01 | INFO     | utils:test_func:10 - test_info
2025-08-17 00:55:01 | ERROR    | utils:test_func:11 - test_error
2025-08-17 00:55:01 | WARNING  | utils:test_func:12 - test_warning
2025-08-17 00:55:01 | DEBUG    | utils:test_func:13 - test_debug
2025-08-17 00:55:01 | CRITICAL | utils:test_func:14 - test_critical
2025-08-17 00:55:02 | INFO     | decorators:timeit_wrapper:17 - Function test_func() {} Took 1.0114 seconds
2025-08-17 00:55:02 | DEBUG    | decorators:wrapper:49 - Completed test_func
2025-08-17 00:55:17 | DEBUG    | decorators:wrapper:34 - Calling test_func
2025-08-17 00:55:17 | INFO     | utils:test_func:10 - test_info
2025-08-17 00:55:17 | ERROR    | utils:test_func:11 - test_error
2025-08-17 00:55:17 | WARNING  | utils:test_func:12 - test_warning
2025-08-17 00:55:17 | DEBUG    | utils:test_func:13 - test_debug
2025-08-17 00:55:17 | CRITICAL | utils:test_func:14 - test_critical
2025-08-17 00:55:18 | DEBUG    | decorators:wrapper:49 - Completed test_func
2025-08-17 00:55:18 | INFO     | decorators:timeit_wrapper:17 - Function test_func() {} Took 1.0057 seconds
2025-08-17 00:55:19 | DEBUG    | decorators:wrapper:34 - Calling test_func
2025-08-17 00:55:19 | INFO     | utils:test_func:10 - test_info
2025-08-17 00:55:19 | ERROR    | utils:test_func:11 - test_error
2025-08-17 00:55:19 | WARNING  | utils:test_func:12 - test_warning
2025-08-17 00:55:19 | DEBUG    | utils:test_func:13 - test_debug
2025-08-17 00:55:19 | CRITICAL | utils:test_func:14 - test_critical
2025-08-17 00:55:20 | DEBUG    | decorators:wrapper:49 - Completed test_func
2025-08-17 00:55:20 | INFO     | decorators:timeit_wrapper:17 - Function test_func() {} Took 1.0114 seconds
2025-08-17 00:55:36 | DEBUG    | decorators:wrapper:34 - Calling test_func
2025-08-17 00:55:36 | INFO     | utils:test_func:10 - test_info
2025-08-17 00:55:36 | ERROR    | utils:test_func:11 - test_error
2025-08-17 00:55:36 | WARNING  | utils:test_func:12 - test_warning
2025-08-17 00:55:36 | DEBUG    | utils:test_func:13 - test_debug
2025-08-17 00:55:36 | CRITICAL | utils:test_func:14 - test_critical
2025-08-17 00:55:37 | DEBUG    | decorators:wrapper:49 - Completed test_func
2025-08-17 00:55:37 | INFO     | decorators:timeit_wrapper:17 - Function test_func() {} Took 1.0130 seconds
